fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
17031,Cook,IL,COMMERCIAL & INDUSTRIAL,365,13.5,0.0
18157,Tippecanoe,IN,COMMERCIAL & INDUSTRIAL,732,2.6,0.0
48359,Oldham,TX,COMMERCIAL & INDUSTRIAL,709,2.3,0.0
08073,Lincoln,CO,COMMERCIAL & INDUSTRIAL,257,1.6,0.0
49021,Iron,UT,COMMERCIAL & INDUSTRIAL,665,1.3,0.0
49027,Millard,UT,COMMERCIAL & INDUSTRIAL,333,1.3,0.0
35009,Curry,NM,COMMERCIAL & INDUSTRIAL,598,1.0,0.0
48355,Nueces,TX,COMMERCIAL & INDUSTRIAL,608,0.9,0.0
31105,Kimball,NE,COMMERCIAL & INDUSTRIAL,826,0.9,0.0
26099,Macomb,MI,COMMERCIAL & INDUSTRIAL,293,0.6,0.0
46073,Jerauld,SD,COMMERCIAL & INDUSTRIAL,481,0.5,0.0
49049,Utah,UT,COMMERCIAL & INDUSTRIAL,202,0.5,0.0
17117,Macoupin,IL,COMMERCIAL & INDUSTRIAL,792,0.5,0.0
48133,Eastland,TX,COMMERCIAL & INDUSTRIAL,627,0.5,0.0
48039,Brazoria,TX,COMMERCIAL & INDUSTRIAL,181,0.5,0.0
38093,Stutsman,ND,COMMERCIAL & INDUSTRIAL,663,0.3,0.0
37071,Gaston,NC,COMMERCIAL & INDUSTRIAL,319,0.3,0.0
04003,Cochise,AZ,COMMERCIAL & INDUSTRIAL,43,0.2,0.0
46099,Minnehaha,SD,COMMERCIAL & INDUSTRIAL,594,0.2,0.0
48113,Dallas,TX,COMMERCIAL & INDUSTRIAL,173,0.2,0.0
19035,Cherokee,IA,COMMERCIAL & INDUSTRIAL,546,0.1,0.0
